website,url_about_us
http://www.upo.es,https://www.upo.es/portal/impe/web/contenido/99c84315-5665-11e2-bd3d-3fe5a96f4a88?channel=a3645af1-2f47-11de-b088-3fe5a96f4a88
http://www.ulpgc.es,https://www.ulpgc.es/presentacion
http://www.ub.es,https://web.ub.edu/es/la-universidad
http://www.unica.estu,nan
http://www.upc.es,https://www.upc.edu/es/la-upc/la-institucion
http://www.url.es,https://www.url.edu/es/la-url
https://www.uvic.cat,https://www.uvic.cat/es/universitat/salutacio-del-rector
http://www.upm.es,nan
http://www.uji.es,https://www.uji.es/mapa/uji/coneix-uji/
http://www.udc.es,https://www.udc.es/es/sobreUDC/mision/
http://www.uvigo.es,https://www.uvigo.gal/es/universidad/conocenos/valores
http://www.uib.es,https://slg.uib.es/w/2.-missio-visio-i-valors